weather,tribal,other,squared,stripes,camo,flower,dotted,multicolor,tie_dye
any,1.534229496305028,5.50986081516072,2.5284263499115927,4.719907512354355,2.442285895634039,4.9625289023892645,0.7729745658974475,0.0,0.03590696830938025
cold,0.8337035861631229,1.751688806274652,3.237112934669266,4.709298635353856,2.0942331232715237,1.535317586253797,0.8989889830892689,0.0,0.009475449970530899
warm,2.7951897356848168,5.139184839280047,2.154826132293603,6.089948769098246,1.8206918438590924,8.738654395430023,1.7551797615269529,0.029423765697964368,0.0
